Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyStatus,crimeCat
16-000071,2016-01,01/01/2016 00:01,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3811,MERAMEC ST,16,NA,NA,3811,MERAMEC,892179.1,1001297,FALSE,14
16-000086,2016-01,01/01/2016 00:01,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4322,LACLEDE AVE,38,NA,NA,4322,LACLEDE,890896.1,1021229,FALSE,14
16-000017,2016-01,01/01/2016 00:01,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4014,UNION BLVD,70,NORTHH PATROL DIVISION,REAR PARKING LOT,4014,UNION,890074.4,1037079,FALSE,14
16-000133,2016-01,01/01/2016 00:01,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4464,GREER AVE,56,NA,NA,4464,GREER,894035.7,1031689,FALSE,14
16-003462,2016-01,01/01/2016 00:01,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1327,RIPPLE ST,42,NA,NA,1327,RIPPLE,880051.2,1016939,FALSE,14
16-000005,2016-01,01/01/2016 00:09,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3737,S JEFFERSON AVE,19,NA,NA,3737,JEFFERSON,898184.3,1002663,FALSE,14
16-000008,2016-01,01/01/2016 00:10,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4886,ANDERSON AVE,69,NA,NA,4886,ANDERSON,893412.8,1037127,FALSE,14
16-000010,2016-01,01/01/2016 00:30,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1000,LAMI ST,21,NA,NA,1000,LAMI,903808.6,1008985,FALSE,14
16-000006,2016-01,01/01/2016 00:39,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4300,SAN FRANCISCO AVE,68,NA,NA,4300,SAN FRANCISCO,896101,1033115,FALSE,14
16-000025,2016-01,01/01/2016 01:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,200,S BROADWAY,35,NA,STADIUM EAST GARAGE,200,BROADWAY,908743.9,1016075,FALSE,14
16-000037,2016-01,01/01/2016 03:05,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4225,NEOSHO ST,5,NA,NA,4225,NEOSHO,887497.8,1001745,FALSE,14
16-000226,2016-01,01/01/2016 09:00,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3650,S UTAH PL,15,NA,NA,3650,UTAH,893061.8,1006317,FALSE,14
16-000075,2016-01,01/01/2016 10:24,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4192,SACRAMENTO AVE,68,NA,APT A,4192,SACRAMENTO,897380.9,1031998,FALSE,14
16-000256,2016-01,01/01/2016 12:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5458,ALABAMA AVE,1,NA,NA,5458,ALABAMA,892133.1,995058.6,FALSE,14
16-046138,2016-09,01/01/2016 12:00,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2022,SIDNEY ST,22,NA,NA,2022,SIDNEY,900639.9,1008758,FALSE,14
16-000094,2016-01,01/01/2016 12:55,Y,NA,NA,1,NA,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2801,N MARKET ST,59,NA,@ GLASGOW,NA,NA,901508.5,1025438,FALSE,13
